,brand,store,sido,gungu,address,phone
0,cheogajip,진동점,경상남도,창원시,경상남도 창원시 마산합포구 진동면 삼진의거대로 660,055-271-8570
1,cheogajip,화봉점,울산광역시,북구,울산광역시 북구 상방로 78,052-283-1700
2,cheogajip,송현점,경상북도,안동시,경상북도 안동시 합전2길 19,054-854-9982
3,cheogajip,옥동점,경상북도,안동시,경상북도 안동시 복주1길 5,054-854-1377
4,cheogajip,대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142,054-277-9985
5,cheogajip,목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 목천안터2길 10,041-555-6211
6,cheogajip,청전점,충청북도,제천시,충청북도 제천시 내제로25길 6-1,043-643-0478
7,cheogajip,홍대점,서울특별시,마포구,서울특별시 마포구 와우산로 23,02-333-9282
8,cheogajip,송정점,경기도,이천시,경기도 이천시 증신로 273,031-632-4333
9,cheogajip,유구점,충청남도,공주시,충청남도 공주시 유구읍 석남리 269 -3,041-841-0799
10,cheogajip,신기점,전남,여수시,전남 여수시 신기남4길 14,061-691-8292
11,cheogajip,케이준 덕풍점,경기도,하남시,경기도 하남시 하남대로861번길 5,031-791-7942
12,cheogajip,화명신도시점,부산광역시,북구,부산광역시 북구 금곡대로303번길 69,051-333-5111
13,cheogajip,해운대점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번길26,051-744-9004
14,cheogajip,시청점,부산,연제구,부산 연제구 연제로 3,051-851-8292
15,cheogajip,덕포1호점,부산광역시,사상구,부산광역시 사상구 사상로 326,051-302-8181
16,cheogajip,압량점,경상북도,경산시,경상북도 경산시 청운2로 74,053-802-9985
17,cheogajip,축산점,경상북도,영덕군,경상북도 영덕군 축산면 축산항길 15,054-734-7377
18,cheogajip,도청점,경상북도,예천군,경상북도 예천군 호명면 양지5길 4,054-654-2747
19,cheogajip,매호점,대구광역시,수성구,대구광역시 수성구 천을로 180,053-202-7799
20,cheogajip,다산점,경상북도,고령군,경상북도 고령군 다산면 상곡1길 16,054-955-9285
21,cheogajip,외동점,경북,경주시,경북 경주시 외동읍 내외로 229-5,054-746-2676
22,cheogajip,평리점,대구광역시,서구,대구광역시 서구 통학로 85-2,053-566-5222
23,cheogajip,임당점,경상북도,경산시,경상북도 경산시 남매공원로2길 35,053-802-7277
24,cheogajip,장기점,대구시,달서구,대구시 달서구 장기동 824-3,053-292-9912
25,cheogajip,범물1점,대구시,수성구,대구시 수성구 범물동 1369-11,053-781-3373
26,cheogajip,가산점,경북,칠곡군,경북 칠곡군 가산면 경북대로 1588,054-971-8111
27,cheogajip,아산원남점,충청남도,아산시,충청남도 아산시 음봉면 음봉면로251번길 48,041-544-3060
28,cheogajip,유곡점,충남,당진시,충남 당진시 송산면 서정9길 12,041-355-8884
29,cheogajip,합덕점,충남,당진시,충남 당진시 합덕읍 미락1안길 31,041-362-7277
30,cheogajip,삽교점,충청남도,예산군,충청남도 예산군 삽교읍 삽교로 167,041-338-1717
31,cheogajip,당진CGV점,충남,당진시,충남 당진시 북문로1길 41-12,041-358-3904
32,cheogajip,문화점,대전광역시,중구,대전광역시 중구 송리로 42,042-582-8292
33,cheogajip,탕정점,충남,아산시,충남 아산시 탕정면 탕정면로8번길 93-3,041-548-9997
34,cheogajip,죽정점,충남,보령시,충남 보령시 봉황로 72-11,041-933-8299
35,cheogajip,사창점,충북,청주시,충북 청주시 서원구 창직로 17-1,043-903-5443
36,cheogajip,성화점,충북,청주시,충북 청주시 서원구 신화로 39,043-234-8989
37,cheogajip,한밭대점,대전,유성구,대전 유성구 학하서로121번길 39-11,042-822-9275
38,cheogajip,태안점,충남,태안군,충남 태안군 태안읍 군청7길 31,041-675-0831
39,cheogajip,청양점,충청남도,청양군,충청남도 청양군 청양읍 칠갑산로 2길 13,041-944-0025
40,cheogajip,지웰점,충청북도,청주시,충청북도 청주시 흥덕구 대신로73번길 86-1,070-7622-5999
41,cheogajip,지웰복대점,충북,청주시,충북 청주시 흥덕구 증안로22번길 13-12,043-236-5444
42,cheogajip,종촌다정점,세종시,도움1로,세종시 도움1로 106,044-866-2332
43,cheogajip,조치원점,세종시,조치원읍,세종시 조치원읍 행복길20,044-862-9399
44,cheogajip,정림점,대전,서구,대전 서구 정림동 533,042-583-9945
45,cheogajip,장항점,충남,서천군,충남 서천군 장항읍 신창서로51,041-956-6035
46,cheogajip,자양우송대점,대전광역시,대동,대전광역시 대동 358-3,042-622-5144
47,cheogajip,원내점,대전,유성구,대전 유성구 진잠로66번길 48,042-331-9282
48,cheogajip,용암점,충청북도,청주시,충청북도 청주시 상당구 용암동 2325,043-288-7222
49,cheogajip,옥산점,충북,청주시,충북 청주시 흥덕구 옥산면 옥산시내1길 49,043-266-8292
50,cheogajip,연무대점,충남,논산시,충남 논산시 연무읍 연무로 189,041-742-0323
51,cheogajip,안서점,충청남도,천안시,충청남도 천안시 동남구 각원사길 38,041-562-3111
52,cheogajip,신불당점,충남,천안시,충남 천안시 서북구 불당동 1548,041-565-2992
53,cheogajip,신방청당점,충청남도,천안시,충청남도 천안시 동남구 풍세로 810,041-571-9922
54,cheogajip,송절테크노점,충북,청주시,충북 청주시 흥덕구 송화로184번길 7,043-268-9999
55,cheogajip,산남점,충북,청주시,충북 청주시 서원구 산남동 498,043-298-7771
56,cheogajip,분평점,충청북도,청주시,충청북도 청주시 분평동 249-6,043-291-9996
57,cheogajip,보은점,충청북도,보은군,충청북도 보은군 보은읍 삼산남로 20,043-543-2202
58,cheogajip,보람시청점,세종시,호려울로,세종시 호려울로 19,044-862-9289
59,cheogajip,모항만리포점,충남,태안군,충남 태안군 소원면 모항파도로 113,041-672-9072
60,cheogajip,만년점,대전,서구,대전 서구 만년남로3번길 1,042-489-9282
61,cheogajip,둔포점,충청남도,아산시,충청남도 아산시 둔포면 아산밸리중앙로47,041-534-7776
62,cheogajip,동대점,충청남도,보령시,충청남도 보령시 동현로 26,041-934-4073
63,cheogajip,도담어진점,세종시,보듬4로,세종시 보듬4로 9,044-867-9287
64,cheogajip,대천해수욕장점,충남,보령시,충남 보령시 해수욕장5길7,041-934-3789
65,cheogajip,노은사랑점,대전,유성구,대전 유성구 지족로148번길 9,042-822-9958
66,cheogajip,내포점,충남,홍성군,충남 홍성군 홍북읍 자경로 17,041-634-2500
67,cheogajip,내덕청대점,충북,청주시,충북 청주시 청원구 안덕벌로49번길 6,043-222-5777
68,cheogajip,기지시점,충청남도,당진시,충청남도 당진시 송악읍 반촌로 98-4,041-352-1211
69,cheogajip,관저사랑점,대전광역시,서구,대전광역시 서구 관저중로84번길 9-13,042-543-0072
70,cheogajip,가장내동점,대전광역시,서구,대전광역시 서구 괴정동 82-22,042-525-5881
71,cheogajip,가오점,대전광역시,동구,대전광역시 동구 대전로 437,042-283-9001
72,cheogajip,강릉교동점,강원도,강릉시,강원도 강릉시 지변동 285-21,033-642-5582
73,cheogajip,보문점,서울특별시,성북구,서울특별시 성북구 보문로 109,02-953-5749
74,cheogajip,화순점,전남,화순군,전남 화순군 화순읍 쌍충로 12-1,061-371-9282
75,cheogajip,진월점,광주,남구,광주 남구 금당로 78,062-674-9282
76,cheogajip,일곡점,광주,북구,광주 북구 설죽로 585-1,062-572-9600
77,cheogajip,웅천점,전남,여수시,전남 여수시 웅천로 261,061-691-8599
78,cheogajip,어양점,전북,익산시,전북 익산시 하나로10길 13,063-831-9280
79,cheogajip,부안점,전북,부안군,전북 부안군 부안읍 오리정로172-1,063-583-8892
80,cheogajip,대산점,전북,고창군,전북 고창군 대산명 대성로 287,063-562-1192
81,cheogajip,가호점,경남,진주시,경남 진주시 호탄길21번길 10-2,055-762-9797
82,cheogajip,농소점,경남,거제시,경남 거제시 장목면 거제북로 2586,055-637-9298
83,cheogajip,함양점,경남,함양군,경남 함양군 함양읍 교산3길 3,055-962-9200
84,cheogajip,중동소답점,경남,창원의창구,경남 창원의창구 평산로 211번길 18,055-292-9282
85,cheogajip,호계점,창원시,마산회원구,창원시 마산회원구 내서읍 광려천북로 184-1,055-231-8293
86,cheogajip,현동점,경남,창원시,경남 창원시 마산합포구 현동6길 18,055-224-4780
87,cheogajip,초전점,경남,진주시,경남 진주시 초전북로 61번길 15-15,055-741-9280
88,cheogajip,양덕점,경남,창원시,경남 창원시 마산회원구 양덕남7길 13,055-298-9292
89,cheogajip,신원점,경남,거창군,경남 거창군 신원면 신차로 3062,055-944-9192
90,cheogajip,교방점,경남,창원시,경남 창원시 마산회원구 회원남로 14,055-245-5092
91,cheogajip,문동점,경남,거제시,경남 거제시 거제중앙로 1537,055-636-9290
92,cheogajip,마산장군점,경남,창원시,경남 창원시 마산합포구 장군천로 42,055-224-0027
93,cheogajip,도동점,경남,진주시,경남 진주시 도동로 240번길 10,055-762-1990
94,cheogajip,도계점,경남,창원시,경남 창원시 의창구 원이대로69번길 20,055-273-1777
95,cheogajip,금남점,경남,하동군,경남 하동군 금남면 섬진강대로 972,055-882-9696
96,cheogajip,리솜점,충청북도,제천시,충청북도 제천시 백운면 금봉로 214,043-653-8833
97,cheogajip,강릉중앙점,강원도,강릉시,강원도 강릉시 금성로 58,033-647-5133
98,cheogajip,개운점,강원도,원주시,강원도 원주시 개운로 30,033-765-3368
99,cheogajip,사북점,강원도,정선군,강원도 정선군 사북읍 사북중앙로 8-2,033-592-2888
100,cheogajip,국토정중앙면점,강원,양구군,강원 양구군 국토정중앙면 삼팔선로 10,033-481-2521
101,cheogajip,신동정원점,강원도,정선군,강원도 정선군 신동읍 예미리 766,033-378-7892
102,cheogajip,내곡관동대점,강원도,관대길,강원도 관대길 32,033-643-1188
103,cheogajip,봉오점,강원도,화천군,강원도 화천군 상서면 신월동로 10,033-442-6555
104,cheogajip,목행점,충주시,행정9길,충주시 행정9길 32,043-845-7987
105,cheogajip,입암점,강원도,강릉시,강원도 강릉시 월대산로 59,033-652-1230
106,cheogajip,산양점,강원도,화천군,강원도 화천군 상서면  영서로 7756-1,033-442-6389
107,cheogajip,포남점,강원도,강릉시,강원도 강릉시 경강로 2356번길 11,033-648-9911
108,cheogajip,북평점,강원,동해시,강원 동해시 오일장길 7,033-522-4999
109,cheogajip,함덕점,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 함덕남16길 108,064-782-3383
110,cheogajip,고덕점,서울특별시,강동구,서울특별시 강동구 아리수로74길 35-23,02-6082-3336
111,cheogajip,사당2점,서울특별시,동작구,서울특별시 동작구 동작대로29나길 30,02-535-9992
112,cheogajip,남창점,울산광역시,울주군,"울산광역시 울주군 온양읍 솔밭1길 23-5, 1층",052-237-8292
113,cheogajip,문현안골점,부산광역시,남구,부산광역시 남구 문현로 63(문현동),051-637-9992
114,cheogajip,광안해변점,부산광역시,수영구,"부산광역시 수영구 수영로 506, 근린생활시설-2동 10호 (광안동)",051-757-6768
115,cheogajip,명학역점,경기도,안양시,경기도 안양시 만안구 안양로 96,031-465-0211
116,cheogajip,아주대점,경기도,수원시,경기도 수원시 팔달구 중부대로220번길 10,031-302-6897
117,cheogajip,도마교동점,경기,군포시,경기 군포시 송부로34번길 9-16,031-406-5216
118,cheogajip,금촌점,경기도,파주시,경기도 파주시 황골로 15,031-945-9199
119,cheogajip,천상점,울산광역시,울주군,"울산광역시 울주군 범서읍 천상1길 18, 104호",052-245-6645
120,cheogajip,영주점,부산광역시,중구,부산광역시 중구 중구로 64 (대청동4가),051-466-9995
121,cheogajip,고한점,강원도,정선군,강원도 정선군 고한읍 고한로 133-1,033-592-1010
122,cheogajip,중랑역점,서울특별시,중랑구,"서울특별시 중랑구 중랑천로 117, 가동 1층(중화동, 정광빌딩)",02-432-8999
123,cheogajip,은평뉴타운점,서울특별시,은평구,"서울특별시 은평구 진관3로 67, 909동 1층 상가108호(진관동, 은평뉴타운 구파발)",02-383-8292
124,cheogajip,하기점,대전광역시,유성구,대전광역시 유성구 송림로 44,042-825-9199
125,cheogajip,창5점,서울특별시,도봉구,서울특별시 도봉구 마들로 555,02-996-9292
126,cheogajip,신당점,서울특별시,중구,서울특별시 중구 퇴계로74길 21-5 1층 103호,0507-1346-5460
127,cheogajip,용곡점,충남,천안시,충남 천안시 동남구 용곡5길 39-4,041-592-9292
128,cheogajip,정왕1호점,경기도,시흥시,경기도 시흥시 정왕대로233번안길 3-4,031-431-3336
129,cheogajip,광교웰빙타운점,경기도,수원시,경기도 수원시 영통구 대학로 101,031-214-9224
130,cheogajip,심곡본점,경기도,부천시,경기도 부천시 경인로 190,032-661-9985
131,cheogajip,우정혁신점,울산광역시,중구,"울산광역시 중구 평동3길  32, 1    2층(유곡동)",052-212-9594
132,cheogajip,영화점,경기,수원시,경기 수원시 장안구 수성로364번길 15,031-241-0777
133,cheogajip,답십리점,서울특별시,동대문구,"서울특별시 동대문구 서울시립대로4길 27, 1층(전농동)",02-3390-9848
134,cheogajip,이동석동점,경상남도,창원시,"경상남도 창원시 진해구 이동로38번길 9, 1층(이동)",055-551-9299
135,cheogajip,송현점,인천광역시,동구,인천광역시 동구 수문통로 35,032-777-7734
136,cheogajip,별내2호점,경기,남양주시,경기 남양주시 덕송2로6번길 12-7,031-557-7036
137,cheogajip,의정부중앙점,경기,의정부시,경기 의정부시 평화로 608,031-841-5592
138,cheogajip,금당점,전남,순천시,"전남 순천시 조례못등길 85, 1층",061-722-9282
139,cheogajip,원주기업도시점,강원도,원주시,강원도 원주시 지정면 신지정로 300,033-744-7161
140,cheogajip,신례원점,충청남도,예산군,충청남도 예산군 예산읍 창신로 67,041-334-8989
141,cheogajip,오학점,경기도,여주시,경기도 여주시 현암3길 16,031-885-9259
142,cheogajip,내발산점,서울특별시,강서구,서울특별시 강서구 우장산로 19,02-3664-4820
143,cheogajip,월영경대점,경상남도,창원시,경상남도 창원시 마산합포구 월영북16길 19,055-247-9292
144,cheogajip,오창2산단점,충북,청주시,충북 청주시 청원구 오창읍 주성1길 12,043-215-7575
145,cheogajip,망포점,경기도,수원시,경기도 수원시 영통구 영통로 153번길 6,031-205-1002
146,cheogajip,고강점,경기도,부천시,경기도 부천시 수주로 21-1,032-682-9222
147,cheogajip,도계점,강원도,삼척시,강원도 삼척시 도계읍 도계로 324-1,0507-1435-8781
148,cheogajip,청라2점,인천광역시,서구,인천광역시 서구 솔빛로 55,032-561-5616
149,cheogajip,복정점,경기도,성남시,경기도 성남시 수정구 복정로 92-1,031-759-0680
150,cheogajip,중앙역점,경기도,안산시,경기도 안산시 단원구 광덕3로 243,031-401-8999
151,cheogajip,덕포점,부산광역시,사상구,"부산광역시 사상구 사상로342번길 40, 1층 102호 (덕포동)",051-301-5900
152,cheogajip,마곡점,서울특별시,강서구,서울특별시 강서구 마곡중앙4로 22,02-6956-7792
153,cheogajip,남해고현점,경상남도,남해군,경상남도 남해군 고현면 탑동로 54,055-863-0920
154,cheogajip,창선점,경상남도,남해군,"경상남도 남해군 창선면 창선로 107-1, 2층",055-867-6000
155,cheogajip,동금점,경상남도,사천시,경상남도 사천시 중앙로 81-1,055-835-2281
156,cheogajip,사천점,경상남도,사천시,경상남도 사천시 사천읍 평화2길 38,055-853-9282
157,cheogajip,감계점,경상남도,창원시,"경상남도 창원시 의창구 북면 동전로 15, 105호",055-293-7877
