brand,store,sido,gungu,address,phone
cheogajip,진동점,경상남도,창원시,경상남도 창원시 마산합포구 진동면 삼진의거대로 660,055-271-8570
cheogajip,화봉점,울산광역시,북구,울산광역시 북구 상방로 78,052-283-1700
cheogajip,송현점,경상북도,안동시,경상북도 안동시 합전2길 19,054-854-9982
cheogajip,옥동점,경상북도,안동시,경상북도 안동시 복주1길 5,054-854-1377
cheogajip,대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142,054-277-9985
cheogajip,목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 목천안터2길 10,041-555-6211
cheogajip,청전점,충청북도,제천시,충청북도 제천시 내제로25길 6-1,043-643-0478
cheogajip,홍대점,서울특별시,마포구,서울특별시 마포구 와우산로 23,02-333-9282
cheogajip,송정점,경기도,이천시,경기도 이천시 증신로 273,031-632-4333
cheogajip,유구점,충청남도,공주시,충청남도 공주시 유구읍 석남리 269 -3,041-841-0799
cheogajip,신기점,전남,여수시,전남 여수시 신기남4길 14,061-691-8292
cheogajip,케이준 덕풍점,경기도,하남시,경기도 하남시 하남대로861번길 5,031-791-7942
cheogajip,화명신도시점,부산광역시,북구,부산광역시 북구 금곡대로303번길 69,051-333-5111
cheogajip,해운대점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번길26,051-744-9004
cheogajip,시청점,부산,연제구,부산 연제구 연제로 3,051-851-8292
cheogajip,덕포1호점,부산광역시,사상구,부산광역시 사상구 사상로 326,051-302-8181
cheogajip,압량점,경상북도,경산시,경상북도 경산시 청운2로 74,053-802-9985
cheogajip,축산점,경상북도,영덕군,경상북도 영덕군 축산면 축산항길 15,054-734-7377
cheogajip,도청점,경상북도,예천군,경상북도 예천군 호명면 양지5길 4,054-654-2747
cheogajip,매호점,대구광역시,수성구,대구광역시 수성구 천을로 180,053-202-7799
cheogajip,다산점,경상북도,고령군,경상북도 고령군 다산면 상곡1길 16,054-955-9285
cheogajip,외동점,경북,경주시,경북 경주시 외동읍 내외로 229-5,054-746-2676
cheogajip,평리점,대구광역시,서구,대구광역시 서구 통학로 85-2,053-566-5222
cheogajip,임당점,경상북도,경산시,경상북도 경산시 남매공원로2길 35,053-802-7277
cheogajip,장기점,대구시,달서구,대구시 달서구 장기동 824-3,053-292-9912
cheogajip,범물1점,대구시,수성구,대구시 수성구 범물동 1369-11,053-781-3373
cheogajip,가산점,경북,칠곡군,경북 칠곡군 가산면 경북대로 1588,054-971-8111
cheogajip,아산원남점,충청남도,아산시,충청남도 아산시 음봉면 음봉면로251번길 48,041-544-3060
cheogajip,유곡점,충남,당진시,충남 당진시 송산면 서정9길 12,041-355-8884
cheogajip,합덕점,충남,당진시,충남 당진시 합덕읍 미락1안길 31,041-362-7277
cheogajip,삽교점,충청남도,예산군,충청남도 예산군 삽교읍 삽교로 167,041-338-1717
cheogajip,당진CGV점,충남,당진시,충남 당진시 북문로1길 41-12,041-358-3904
cheogajip,문화점,대전광역시,중구,대전광역시 중구 송리로 42,042-582-8292
cheogajip,탕정점,충남,아산시,충남 아산시 탕정면 탕정면로8번길 93-3,041-548-9997
cheogajip,죽정점,충남,보령시,충남 보령시 봉황로 72-11,041-933-8299
cheogajip,사창점,충북,청주시,충북 청주시 서원구 창직로 17-1,043-903-5443
cheogajip,성화점,충북,청주시,충북 청주시 서원구 신화로 39,043-234-8989
cheogajip,한밭대점,대전,유성구,대전 유성구 학하서로121번길 39-11,042-822-9275
cheogajip,태안점,충남,태안군,충남 태안군 태안읍 군청7길 31,041-675-0831
cheogajip,청양점,충청남도,청양군,충청남도 청양군 청양읍 칠갑산로 2길 13,041-944-0025
cheogajip,지웰점,충청북도,청주시,충청북도 청주시 흥덕구 대신로73번길 86-1,070-7622-5999
cheogajip,지웰복대점,충북,청주시,충북 청주시 흥덕구 증안로22번길 13-12,043-236-5444
cheogajip,종촌다정점,세종시,도움1로,세종시 도움1로 106,044-866-2332
cheogajip,조치원점,세종시,조치원읍,세종시 조치원읍 행복길20,044-862-9399
cheogajip,정림점,대전,서구,대전 서구 정림동 533,042-583-9945
cheogajip,장항점,충남,서천군,충남 서천군 장항읍 신창서로51,041-956-6035
cheogajip,자양우송대점,대전광역시,대동,대전광역시 대동 358-3,042-622-5144
cheogajip,원내점,대전,유성구,대전 유성구 진잠로66번길 48,042-331-9282
cheogajip,용암점,충청북도,청주시,충청북도 청주시 상당구 용암동 2325,043-288-7222
cheogajip,옥산점,충북,청주시,충북 청주시 흥덕구 옥산면 옥산시내1길 49,043-266-8292
cheogajip,연무대점,충남,논산시,충남 논산시 연무읍 연무로 189,041-742-0323
cheogajip,안서점,충청남도,천안시,충청남도 천안시 동남구 각원사길 38,041-562-3111
cheogajip,신불당점,충남,천안시,충남 천안시 서북구 불당동 1548,041-565-2992
cheogajip,신방청당점,충청남도,천안시,충청남도 천안시 동남구 풍세로 810,041-571-9922
cheogajip,송절테크노점,충북,청주시,충북 청주시 흥덕구 송화로184번길 7,043-268-9999
cheogajip,산남점,충북,청주시,충북 청주시 서원구 산남동 498,043-298-7771
cheogajip,분평점,충청북도,청주시,충청북도 청주시 분평동 249-6,043-291-9996
cheogajip,보은점,충청북도,보은군,충청북도 보은군 보은읍 삼산남로 20,043-543-2202
cheogajip,보람시청점,세종시,호려울로,세종시 호려울로 19,044-862-9289
cheogajip,모항만리포점,충남,태안군,충남 태안군 소원면 모항파도로 113,041-672-9072
cheogajip,만년점,대전,서구,대전 서구 만년남로3번길 1,042-489-9282
cheogajip,둔포점,충청남도,아산시,충청남도 아산시 둔포면 아산밸리중앙로47,041-534-7776
cheogajip,동대점,충청남도,보령시,충청남도 보령시 동현로 26,041-934-4073
cheogajip,도담어진점,세종시,보듬4로,세종시 보듬4로 9,044-867-9287
cheogajip,대천해수욕장점,충남,보령시,충남 보령시 해수욕장5길7,041-934-3789
cheogajip,노은사랑점,대전,유성구,대전 유성구 지족로148번길 9,042-822-9958
cheogajip,내포점,충남,홍성군,충남 홍성군 홍북읍 자경로 17,041-634-2500
cheogajip,내덕청대점,충북,청주시,충북 청주시 청원구 안덕벌로49번길 6,043-222-5777
cheogajip,기지시점,충청남도,당진시,충청남도 당진시 송악읍 반촌로 98-4,041-352-1211
cheogajip,관저사랑점,대전광역시,서구,대전광역시 서구 관저중로84번길 9-13,042-543-0072
cheogajip,가장내동점,대전광역시,서구,대전광역시 서구 괴정동 82-22,042-525-5881
cheogajip,가오점,대전광역시,동구,대전광역시 동구 대전로 437,042-283-9001
cheogajip,강릉교동점,강원도,강릉시,강원도 강릉시 지변동 285-21,033-642-5582
cheogajip,보문점,서울특별시,성북구,서울특별시 성북구 보문로 109,02-953-5749
cheogajip,화순점,전남,화순군,전남 화순군 화순읍 쌍충로 12-1,061-371-9282
cheogajip,진월점,광주,남구,광주 남구 금당로 78,062-674-9282
cheogajip,일곡점,광주,북구,광주 북구 설죽로 585-1,062-572-9600
cheogajip,웅천점,전남,여수시,전남 여수시 웅천로 261,061-691-8599
cheogajip,어양점,전북,익산시,전북 익산시 하나로10길 13,063-831-9280
cheogajip,부안점,전북,부안군,전북 부안군 부안읍 오리정로172-1,063-583-8892
cheogajip,대산점,전북,고창군,전북 고창군 대산명 대성로 287,063-562-1192
cheogajip,가호점,경남,진주시,경남 진주시 호탄길21번길 10-2,055-762-9797
cheogajip,농소점,경남,거제시,경남 거제시 장목면 거제북로 2586,055-637-9298
cheogajip,함양점,경남,함양군,경남 함양군 함양읍 교산3길 3,055-962-9200
cheogajip,중동소답점,경남,창원의창구,경남 창원의창구 평산로 211번길 18,055-292-9282
cheogajip,호계점,창원시,마산회원구,창원시 마산회원구 내서읍 광려천북로 184-1,055-231-8293
cheogajip,현동점,경남,창원시,경남 창원시 마산합포구 현동6길 18,055-224-4780
cheogajip,초전점,경남,진주시,경남 진주시 초전북로 61번길 15-15,055-741-9280
cheogajip,양덕점,경남,창원시,경남 창원시 마산회원구 양덕남7길 13,055-298-9292
cheogajip,신원점,경남,거창군,경남 거창군 신원면 신차로 3062,055-944-9192
cheogajip,교방점,경남,창원시,경남 창원시 마산회원구 회원남로 14,055-245-5092
cheogajip,문동점,경남,거제시,경남 거제시 거제중앙로 1537,055-636-9290
cheogajip,마산장군점,경남,창원시,경남 창원시 마산합포구 장군천로 42,055-224-0027
cheogajip,도동점,경남,진주시,경남 진주시 도동로 240번길 10,055-762-1990
cheogajip,도계점,경남,창원시,경남 창원시 의창구 원이대로69번길 20,055-273-1777
cheogajip,금남점,경남,하동군,경남 하동군 금남면 섬진강대로 972,055-882-9696
cheogajip,리솜점,충청북도,제천시,충청북도 제천시 백운면 금봉로 214,043-653-8833
cheogajip,강릉중앙점,강원도,강릉시,강원도 강릉시 금성로 58,033-647-5133
cheogajip,개운점,강원도,원주시,강원도 원주시 개운로 30,033-765-3368
cheogajip,사북점,강원도,정선군,강원도 정선군 사북읍 사북중앙로 8-2,033-592-2888
cheogajip,국토정중앙면점,강원,양구군,강원 양구군 국토정중앙면 삼팔선로 10,033-481-2521
cheogajip,신동정원점,강원도,정선군,강원도 정선군 신동읍 예미리 766,033-378-7892
cheogajip,내곡관동대점,강원도,관대길,강원도 관대길 32,033-643-1188
cheogajip,봉오점,강원도,화천군,강원도 화천군 상서면 신월동로 10,033-442-6555
